id	date	domain	status	line	topic	decision	evidence
DEC-PROD-001	2026-07-08	product	accepted	14	Explainable prioritization is the flagship	Prioritize explainable disease-to-target ranking with SHAP and evidence paths; discovery is the primary use case and toxicity is not inferred from indirect proxies.	[`PROJECT_CONTEXT.md`](../overview/PROJECT_CONTEXT.md), [`DEMO_NARRATIVE.md`](../demo/DEMO_NARRATIVE.md)
DEC-PROD-002	2026-08-17	product	accepted	27	The deliverable is filterable, not pre-cut	Serve a ranked candidate list with user-controlled filters and annotations rather than a single pre-filtered shortlist.	[`DEMO_NARRATIVE.md`](../demo/DEMO_NARRATIVE.md), [`WEBAPP_DESIGN.md`](../demo/WEBAPP_DESIGN.md)
DEC-PROD-003	2026-08-01	product	accepted	40	The pitch separates efficacy from developability	Frame the POC around two distinct questions: genetic/biological evidence for efficacy and chemical/therapeutic evidence for developability.	[`PROJECT_CONTEXT.md` §2.1](../overview/PROJECT_CONTEXT.md), [`DEMO_NARRATIVE.md`](../demo/DEMO_NARRATIVE.md)
DEC-GRAPH-001	2026-06-01	graph	accepted	53	Build the graph from auditable sources	Recreate the graph pipeline from sources, substitute unavailable licensed inputs with compatible public sources, and retain the published graph only as a frozen reference.	[`GRAPH_BUILDING.md`](../graph/GRAPH_BUILDING.md), [`PROJECT_CONTEXT.md` §4](../overview/PROJECT_CONTEXT.md)
DEC-ARCH-001	2026-08-17	architecture	accepted	66	Graph and prioritizer remain separate DSS projects	`DEMO_KG_LS` owns graph construction; `DEMO_TARGET_IDENTIFICATION` consumes 12 synced datasets plus one direct-read Kuzu folder through an explicit shared-object contract and owns modeling, validation and serving.	[ADR-001](adrs/ADR-001-project-boundary.md), [`PROJECT_CONTEXT.md` §4](../overview/PROJECT_CONTEXT.md)
DEC-ARCH-002	2026-08-13	architecture	accepted	79	Graph rebuild acceptance is structural	Accept a graph rebuild on declared structural invariants and provenance rather than byte-identical output from live public sources.	[`GRAPH_BUILDING.md`](../graph/GRAPH_BUILDING.md), [`PROJECT_CONTEXT.md` §4.5](../overview/PROJECT_CONTEXT.md)
DEC-ARCH-003	2026-08-18	architecture	accepted	92	Flow zones are named for questions	Organize validation and serving zones by the question they answer, not by the DSS tool used.	[`FLOW_MAP.md`](../demo/FLOW_MAP.md), [`DEMO_NARRATIVE.md`](../demo/DEMO_NARRATIVE.md)
DEC-ARCH-004	2026-08-10	architecture	accepted	105	Compute metapaths as factorized matrices	Implement functional metapaths as factorized right-to-left matrix operations rather than graph queries.	[`TARGET_PRIORITIZER.md` §3.3](../prioritizer/TARGET_PRIORITIZER.md)
DEC-ARCH-005	2026-06-30	architecture	accepted	118	Random walks use sparse bounded computation	Implement random-walk scoring with sparse arrays and bounded parallelism rather than a monolithic in-memory graph library.	[`GRAPH_BUILDING.md`](../graph/GRAPH_BUILDING.md)
DEC-METH-001	2026-08-08	methodology	accepted	131	Candidate eligibility is an evidence boundary	Apply the evidence-bearing candidate population to train and test; reject filters whose missingness is created by label lookup, and do not widen eligibility merely because a rejected feature has broader coverage.	[ADR-002](adrs/ADR-002-candidate-and-evaluation-boundary.md), [`TARGET_PRIORITIZER.md` §2](../prioritizer/TARGET_PRIORITIZER.md)
DEC-METH-002	2026-08-09	methodology	accepted	144	Split by curated family and report by disease	Assign related diseases through an external curated family antichain, split by family and report ranking metrics per disease.	[`TARGET_PRIORITIZER.md` §§2.1, 2.3](../prioritizer/TARGET_PRIORITIZER.md), [`VALIDATION.md` §3.1](../prioritizer/VALIDATION.md)
DEC-METH-003	2026-08-17	methodology	accepted	157	Subtype diagnostics use disease family, not split-key identity	Select subtype-granularity comparisons by curated disease family rather than by an arbitrary split-key integer.	[`TARGET_PRIORITIZER.md` §2.3](../prioritizer/TARGET_PRIORITIZER.md), [`DSS_CHEATSHEET.md` §1](../platform/DSS_CHEATSHEET.md)
DEC-METH-004	2026-08-19	methodology	accepted	170	Outcome-linked routes do not define their own benchmark	Exclude route-only outcome-selected pairs from drug-evaluation denominators and report both the full and supported benchmarks rather than dropping whole diseases.	[ADR-002](adrs/ADR-002-candidate-and-evaluation-boundary.md), [`VALIDATION.md` §§3.2, 6.2](../prioritizer/VALIDATION.md)
DEC-METH-005	2026-08-10	methodology	accepted	183	Numeric feature handling is explicit	Standard-rescale and mean-impute every numeric model input, and audit per-feature handling after each deployment.	[`TARGET_PRIORITIZER.md` §4](../prioritizer/TARGET_PRIORITIZER.md), [`DSS_CHEATSHEET.md` §1](../platform/DSS_CHEATSHEET.md)
DEC-MEAS-001	2026-08-09	measurement	accepted	196	Headline metrics are paired and disease-level	Headline AUROC is macro per disease, never pooled; AUPRC supports model selection and head-of-list analysis but is not reported as an unqualified per-disease aggregate. Report tie counts before small mean differences and prefer stratified paired tests.	[`VALIDATION.md` §3.1](../prioritizer/VALIDATION.md), [`TARGET_PRIORITIZER.md` §5](../prioritizer/TARGET_PRIORITIZER.md)
DEC-MEAS-002	2026-08-13	measurement	accepted	209	Validation uses multiple axes and both ground truths	Evaluate association ranking, therapeutic evidence, tractability and discovery separately; report both association and drug-supported labels, and use expert review where labels cannot resolve plausibility.	[`VALIDATION.md` §§3.2, 6](../prioritizer/VALIDATION.md)
DEC-MEAS-003	2026-08-14	measurement	accepted	222	Drug-label training is rejected; lookup baselines are warnings	Keep the association objective; do not optimize the drug-target benchmark, and always compare such benchmarks with the simplest gene-popularity lookup.	[`VALIDATION.md` §5](../prioritizer/VALIDATION.md), [`TARGET_PRIORITIZER.md` §5](../prioritizer/TARGET_PRIORITIZER.md)
DEC-DATA-001	2026-08-11	data	accepted	235	Druggability and target class annotate but do not rank	Keep druggability and target-class data as per-gene annotations and filters, not model inputs or graph topology.	[`TARGET_PRIORITIZER.md` §3.2](../prioritizer/TARGET_PRIORITIZER.md), [`DEMO_NARRATIVE.md` Act 4](../demo/DEMO_NARRATIVE.md)
DEC-SAFE-001	2026-08-17	safety	accepted	248	Indirect safety proxies cannot filter candidates	Do not filter targets using loss-of-function intolerance or positive-only safety-liability annotations; a safety axis requires direct measurements such as essentiality and expression breadth.	[`VALIDATION.md` §5](../prioritizer/VALIDATION.md), [`DEMO_NARRATIVE.md` Acts 5–6](../demo/DEMO_NARRATIVE.md)
DEC-DEMO-001	2026-08-19	demo	accepted	261	The demo is an objection ladder	Present the POC as an ordered set of scientist objections, with leakage controls, refuted gates and limitations in the main story; the reusable platform claim is disciplined hypothesis gating, not a single model score.	[`DEMO_NARRATIVE.md`](../demo/DEMO_NARRATIVE.md)
DEC-DEMO-002	2026-08-19	demo	accepted	274	The narrative governs the dashboard	Derive the dashboard and flow-facing presentation from the approved demo narrative, never prune evidence because it is absent from a hypothetical UI.	[`DEMO_NARRATIVE.md`](../demo/DEMO_NARRATIVE.md), [`WEBAPP_DESIGN.md`](../demo/WEBAPP_DESIGN.md)
DEC-OPS-001	2026-08-17	operations	accepted	287	Identifier remapping audits ordering semantics	When graph identifiers are reassigned, audit every rule that ranks, minimizes or applies modulo to them; literal substitution alone is insufficient.	[`DSS_CHEATSHEET.md` §1](../platform/DSS_CHEATSHEET.md)
DEC-OPS-002	2026-08-19	operations	accepted	300	Snapshot before destructive DSS changes	Capture recoverable configuration and evidence before deleting or materially replacing DSS objects.	[`DSS_CHEATSHEET.md` §6](../platform/DSS_CHEATSHEET.md)
DEC-OPS-003	2026-08-19	operations	accepted	313	Notebook assertions govern documented numbers	Make notebooks the computational authority for every governed documented number.	[`VALIDATION.md` §§1, 7](../prioritizer/VALIDATION.md), [`CLAIM_REGISTRY.json`](../prioritizer/CLAIM_REGISTRY.json)
DEC-OPS-004	2026-08-20	operations	accepted	326	Population interventions use pre-registered staged rollout	Change one population or feature-family intervention per model, declare predictions and adopt/reject rules before execution, and adopt only after the complete comparison.	[`PHASE3_PREREGISTRATION.md`](../prioritizer/PHASE3_PREREGISTRATION.md)
DEC-OPS-005	2026-08-31	operations	accepted	339	Build review is routed by semantic delta	Classify governed DSS builds deterministically against an explicitly accepted baseline; keep no-change and refresh-only events machine-readable, and request targeted review only for claim, contract or incident deltas.	[`BUILD_GOVERNANCE.md`](../operations/BUILD_GOVERNANCE.md), [`DOC_RESTRUCTURE_PLAN.md` §8](../demo/DOC_RESTRUCTURE_PLAN.md)
DEC-MODEL-001	2026-08-21	model	accepted	352	`m7-f14` is the current champion	Use saved model `m7-f14` (`hJLGoYn4`) as the champion; retain `prox_kernel` rather than the higher-AUPRC `prox_mean` alternative.	[`VALIDATION.md` §§2, 4.2](../prioritizer/VALIDATION.md), [`TARGET_PRIORITIZER.md` §5](../prioritizer/TARGET_PRIORITIZER.md), `tools/model_registry.json`
DEC-PH3-001	2026-08-21	methodology	approved-not-executed	365	Phase 3 is a pre-registered coverage intervention	Test the seed-gate widening only in a duplicated Part 2 project; widen the nine Class 1 recipes while holding the Class 2 GO-metapath aggregate at 20, score before retraining and apply the pre-registered rule without post-result revision.	[`PHASE3_PREREGISTRATION.md`](../prioritizer/PHASE3_PREREGISTRATION.md), [`TARGET_PRIORITIZER.md` §6](../prioritizer/TARGET_PRIORITIZER.md)
