claim_id	status	statement	interpretation	measurements	documentation_consumers	webapp_api_consumers	review_policy
TI-DATA-001	current	The evaluated candidate population is the deduplicated union of the GGD, GPGD and GCD routes: 6,754,128 pairs at a 1.89% positive rate.	This is the population on which current validation claims are defined; it is not every disease crossed with every gene.	pool_rows=6754128 [pairs; precision=0; authority_tol=0] @ nb2_splitting_and_pool.py:5.2:5.2 pool rows | positive_rate=1.89 [percent; precision=2; authority_tol=0.005] @ nb2_splitting_and_pool.py:5.2:5.2 pool positive rate % | ggd_rows=3380853 [route admissions; precision=0; authority_tol=0] @ nb2_splitting_and_pool.py:5.2:5.2 GGD rows | gpgd_rows=5373706 [route admissions; precision=0; authority_tol=0] @ nb2_splitting_and_pool.py:5.2:5.2 GPGD rows | gcd_rows=42227 [route admissions; precision=0; authority_tol=0] @ nb2_splitting_and_pool.py:5.2:5.2 GCD rows	docs/prioritizer/TARGET_PRIORITIZER.md | docs/prioritizer/VALIDATION.md | docs/prioritizer/FEATURE_AUDIT.md | docs/prioritizer/PHASE3_PREREGISTRATION.md | docs/overview/PROJECT_CONTEXT.md | docs/demo/DEMO_NARRATIVE.md | docs/demo/WEBAPP_DESIGN.md | docs/demo/DASHBOARD_MOCKUP_V3.html | docs/demo/mockup_parity.html	webapp/backend/routes/calibration.py	Re-run nb2, then review pool/split denominators and every listed consumer whenever a route, seed gate or graph input changes.
TI-MOD-001	current	The adopted champion is m7-f14, saved model hJLGoYn4, with 14 features.	Model identity is governed by the repository model registry; model quality is governed separately and cannot be inferred from identity alone.	saved_model_id=hJLGoYn4 [identifier; precision=None; authority_tol=None] @ tools/model_registry.json#/champion | feature_count=14 [features; precision=0; authority_tol=0] @ tools/model_registry.json#/models/hJLGoYn4/n_features | model_name=m7-f14 [name; precision=None; authority_tol=None] @ tools/model_registry.json#/models/hJLGoYn4/name	docs/prioritizer/TARGET_PRIORITIZER.md | docs/prioritizer/VALIDATION.md | docs/prioritizer/FEATURE_AUDIT.md | docs/prioritizer/PHASE3_PREREGISTRATION.md | docs/overview/PROJECT_CONTEXT.md | docs/demo/DEMO_NARRATIVE.md | docs/demo/WEBAPP_DESIGN.md | docs/demo/BREAST_SURGEON_BRIEFING.md | docs/demo/DASHBOARD_MOCKUP_V3.html | docs/demo/panel_selection.html | docs/demo/panel_selection/README.md	webapp/backend/routes/calibration.py | webapp/frontend/src/views/CalibrationView.vue	A champion change requires model-registry review plus all governed validation checks; never retarget consumers from a metric alone.
TI-VAL-001	current	Champion reconstruction fidelity is macro per-disease AUROC 0.8230 across 670 held-out diseases.	This measures within-disease recovery of known associations; it is not therapeutic efficacy, causal validity or prospective success.	macro_per_disease_auroc=0.823 [AUROC; precision=4; authority_tol=5e-05] @ nb3_validation_and_plots.py:10.1:10.1 macro per-disease AUC | held_out_diseases=670 [diseases; precision=0; authority_tol=0] @ nb3_validation_and_plots.py:10.1:10.1 validation diseases	docs/prioritizer/VALIDATION.md | docs/prioritizer/FEATURE_AUDIT.md | docs/prioritizer/PHASE3_PREREGISTRATION.md | docs/overview/PROJECT_CONTEXT.md | docs/demo/DEMO_NARRATIVE.md | docs/demo/WEBAPP_DESIGN.md | docs/demo/DASHBOARD_MOCKUP_V3.html | docs/demo/panel_selection.html | docs/demo/panel_selection/README.md	webapp/backend/routes/calibration.py | webapp/frontend/src/views/CalibrationView.vue	Re-run nb3 and review the distribution and denominator before changing any headline; report the macro value with its 670-disease scope.
TI-VAL-002	current	Pooled AUROC is 0.8932, about seven points above macro per-disease AUROC 0.8230, because pooling lets large diseases dominate.	The macro value is the governed headline. The pooled value exists only as a warning and must not be substituted for it.	pooled_auroc=0.8932 [AUROC; precision=4; authority_tol=5e-05] @ nb3_validation_and_plots.py:-:header pooled AUC | macro_per_disease_auroc=0.823 [AUROC; precision=4; authority_tol=5e-05] @ nb3_validation_and_plots.py:10.1:10.1 macro per-disease AUC	docs/prioritizer/VALIDATION.md | docs/demo/DEMO_NARRATIVE.md | docs/demo/WEBAPP_DESIGN.md | docs/demo/DASHBOARD_MOCKUP_V3.html	webapp/backend/routes/calibration.py | webapp/frontend/src/views/CalibrationView.vue	Fail review if pooled and macro semantics are collapsed, if the pooled value is promoted to the headline, or if either value changes without nb3 evidence.
TI-VAL-003	current	Family-level validation covers 505 families with macro AUROC 0.8009.	Family grouping is a leakage-control view, not evidence that every family or disease performs uniformly.	families=505 [families; precision=0; authority_tol=0] @ nb3_validation_and_plots.py:7.3:7.3 families | macro_family_auroc=0.8009 [AUROC; precision=4; authority_tol=5e-05] @ nb3_validation_and_plots.py:7.3:7.3 per-family macro AUC	docs/prioritizer/VALIDATION.md | docs/demo/DEMO_NARRATIVE.md | docs/demo/WEBAPP_DESIGN.md | docs/demo/DASHBOARD_MOCKUP_V3.html	webapp/backend/routes/calibration.py | webapp/frontend/src/views/CalibrationView.vue	Re-run nb3 after split-family or champion changes and retain the warning that the aggregate hides family-level variation.
TI-VAL-004	current	Association ranking and therapeutic agreement are orthogonal: drug-target macro AUROC is 0.6886, Pearson r is +0.002 and R-squared is 0.0000 across evaluable diseases.	Association AUROC cannot be used as a proxy for therapeutic relevance; every result must name its axis.	drug_target_macro_auroc=0.6886 [AUROC; precision=4; authority_tol=5e-05] @ nb3_validation_and_plots.py:7.4:7.4 drug-target macro AUC | pearson_r=0.002 [correlation; precision=3; authority_tol=0.0005] @ nb3_validation_and_plots.py:7.4:7.4 orthogonality pearson r | r_squared=0.0 [R2; precision=4; authority_tol=5e-05] @ nb3_validation_and_plots.py:7.4:7.4 orthogonality R2	docs/prioritizer/VALIDATION.md | docs/overview/PROJECT_CONTEXT.md | docs/demo/DEMO_NARRATIVE.md | docs/demo/WEBAPP_DESIGN.md | docs/demo/DASHBOARD_MOCKUP_V3.html	webapp/backend/routes/calibration.py	Review association and therapeutic axes together after model or drug-label changes; never describe association AUROC as therapeutic prediction.
TI-VAL-005	current	Among known targets, champion mean probability rises from 0.5938 in the lowest degree quintile to 0.7873 in the highest; spread is 0.1935 and rho(degree, probability) is 0.3273.	Hub bias is a current measured weakness. The older claim that the champion improved under-studied targets was refuted.	q1_probability=0.5938 [mean probability; precision=4; authority_tol=5e-05] @ nb3b_hub_bias_meter.py:7.2:7.2 champion Q1 probability | q5_probability=0.7873 [mean probability; precision=4; authority_tol=5e-05] @ nb3b_hub_bias_meter.py:7.2:7.2 champion Q5 probability | spread=0.1935 [probability; precision=4; authority_tol=5e-05] @ nb3b_hub_bias_meter.py:7.2:7.2 champion spread | rho_degree_probability=0.3273 [Spearman rho; precision=4; authority_tol=5e-05] @ nb3b_hub_bias_meter.py:7.2:7.2 champion rho(degree,proba)	docs/prioritizer/VALIDATION.md | docs/prioritizer/FEATURE_AUDIT.md | docs/prioritizer/PHASE3_PREREGISTRATION.md | docs/demo/WEBAPP_DESIGN.md	webapp/backend/routes/calibration.py	Re-run nb3b after champion, feature-population or split changes; preserve the negative finding and do not infer a cause without a controlled test.
TI-VAL-006	current	Drug-target AUROC is 0.6886 over all positives and 0.7471 over route-supported positives.	The gap is evidence about scoreability and outcome-selected route support, not permission to discard hard positives or optimise the candidate gate on drug labels.	all_positive_auroc=0.6886 [AUROC; precision=4; authority_tol=5e-05] @ nb2_splitting_and_pool.py:5.2.1:5.2.1 approved join auc_all | route_supported_auroc=0.7471 [AUROC; precision=4; authority_tol=5e-05] @ nb2_splitting_and_pool.py:5.2.1:5.2.1 approved join auc_supported	docs/prioritizer/TARGET_PRIORITIZER.md | docs/prioritizer/VALIDATION.md | docs/prioritizer/FEATURE_AUDIT.md | docs/demo/BREAST_SURGEON_BRIEFING.md	-	Re-run nb2 when route eligibility or the drug benchmark changes; report both estimands and the outcome-selection warning.
TI-VAL-007	current	Among novel top-ranked candidates, approved drug targets are enriched 16.88-fold at K=10 and 5.04-fold at K=200.	This supports discovery enrichment inside the admitted pool, but a drug-target lookup can reward gene popularity and must remain a warning-bearing secondary benchmark.	approved_lift_at_10=16.88 [fold; precision=2; authority_tol=0.005] @ nb4_results_three_axes.py:8.3:8.3 approved lift@10 | approved_lift_at_200=5.04 [fold; precision=2; authority_tol=0.005] @ nb4_results_three_axes.py:8.3:8.3 approved lift@200	docs/prioritizer/VALIDATION.md | docs/prioritizer/FEATURE_AUDIT.md | docs/overview/PROJECT_CONTEXT.md | docs/demo/DEMO_NARRATIVE.md | docs/demo/WEBAPP_DESIGN.md	-	Re-run nb4/nb6 after champion, ranking-population or drug-ground-truth changes; retain both the pool scope and gene-popularity warning.
TI-VAL-008	current	Degree-matched tractability lift is 3.29-fold pooled and 3.11-fold macro at K=10, and 2.42-fold pooled at K=200.	Pooled and macro are different estimands and both are reported; the deeper-list pooled value is the more stable model-selection corroboration.	pooled_dm_lift_at_10=3.29 [fold; precision=2; authority_tol=0.005] @ nb4_results_three_axes.py:8.4:8.4 pooled dm lift @10 | macro_dm_lift_at_10=3.11 [fold; precision=2; authority_tol=0.005] @ nb4_results_three_axes.py:8.4:8.4 macro dm lift @10 | pooled_dm_lift_at_200=2.42 [fold; precision=2; authority_tol=0.005] @ nb4_results_three_axes.py:8.4:8.4 pooled dm lift @200	docs/prioritizer/VALIDATION.md | docs/prioritizer/FEATURE_AUDIT.md | docs/demo/DEMO_NARRATIVE.md | docs/demo/WEBAPP_DESIGN.md | docs/demo/DASHBOARD_MOCKUP_V3.html	-	Re-run nb4/nb6 after model or candidate-population changes; never merge pooled and macro lifts or compare them without naming K.
